ime,ulica,mesto,posta,regija,koordinate,center,dolzina,trajanje,pot
CERO Puconci d.o.o.,Dolgovaške Gorice 166 B,Lendava,9220 Lendava,POMURSKA,46.5856029;16.45945913,0,210.08,114,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;66.18--RAZCEP DOLGA VAS;0.93--DOLGA VAS;0.52--PRIKLJUČEK DOLGA VAS;0.21--DOLGA VAS;0.93--HETEŠ;0.26--GLAVNA ULICA;0.58--SLOVENSKA ULICA;0.15--DOLGOVAŠKE GORICE;0.56
CERO Puconci d.o.o.,Vaneča 81 B,Puconci,9201 Puconci,POMURSKA,46.71534204;16.16814877,0,194.53,108,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;121.57--A5;43.76--MURSKA SOBOTA;0.25--PRIKLJUČEK MURSKA SOBOTA;0.2--BAKOVCI;0.36--;0.46--BAKOVSKA ULICA;2.14--GREGORČIČEVA ULICA;0.13--CANKARJEVA ULICA;0.03--PANONSKA ULICA;0.24--INDUSTRIJSKA ULICA;0.99--LENDAVSKA ULICA;0.47--OBRTNA ULICA;0.01--NEMČAVCI;3.03--PUCONCI;0.3--SEBEBORCI;2.19--VANEČA;0.21
"Čisto Mesto Ptuj, d.o.o.",Kidričeva cesta 75,Kidričevo,4220 Škofja Loka,GORENJSKA,46.17317196;14.33993725,0,25.38,22,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;6.17--LJ. ŠENTVID;1.04--CELOVŠKA CESTA;1.09--LJUBLJANA;0.14--DVOR;0.02--LJUBLJANA;0.2--DVOR;0.25--STANEŽIČE;1.34--MEDNO;1.59--SENIČICA;0.12--GORENJSKA CESTA;3.36--SPODNJA SENICA;0.82--GORENJA VAS - RETEČE;0.24--PODREČA;0.26--GORENJA VAS - RETEČE;0.78--ZGORNJA SENICA;0.14--GORENJA VAS - RETEČE;0.86--RETEČE;1.01--GODEŠIČ;1.53--HAFNERJEVO NASELJE;0.28--KIDRIČEVA CESTA;0.52
Javne službe Ptuj,Dornavska cesta 26,Spuhlja,2250 Ptuj,PODRAVSKA,46.42339267;15.90401954,0,151.96,81,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;108.26--A4;18.87--RAZCEP DRAŽENCI;0.62--OBVOZNICA;2.75--PUHOV MOST;0.46--OBVOZNICA;0.55--ORMOŠKA CESTA;0.05--PUHOVA ULICA;1.18--DORNAVSKA CESTA;0.93--PTUJ;0.1
Infrastruktura Bled d.o.o.,Rečiška cesta 2,Bled,4260 Bled,GORENJSKA,46.37296562;14.10050155,0,60.31,34,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;50.94--LESCE;0.13--PRIKLJUČEK LESCE;0.53--LESCE;2.0--LJUBLJANSKA CESTA;1.74--PREŠERNOVA CESTA;1.35
Javno podjetje Snaga d.o.o.,Cesta dveh cesarjev 101,Ljubljansko Barje,1000 Ljubljana,OSREDNJESLOVENSKA,46.02434153;14.47638566,0,5.64,7,TRŽAŠKA CESTA;3.54--CESTA V GORICE;0.67--CESTA DVEH CESARJEV;0.73--;0.7
JKP Dravograd d.o.o.,Meža 10,Dravograd,2370 Dravograd,KOROŠKA,46.58657418;15.02489687,0,127.29,82,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;3.8--RAZCEP KOSEZE;0.2--LJUBLJANSKA SEVERNA OBVOZNICA;9.72--RAZCEP ZADOBROVA;0.86--A1;59.39--ŽALEC;0.23--MALA PIREŠICA;0.98--VELIKA PIREŠICA;2.9--STUDENCE;2.65--ČRNOVA;1.89--VINSKA GORA;1.5--PIREŠICA;1.09--LIPJE;0.08--ČRNOVA;0.6--BEVČE;0.77--CELJSKA CESTA;0.8--KOŽELJSKEGA ULICA;0.33--CESTA IV;0.06--CESTA III;0.08--CESTA II;0.07--CESTA I;0.09--GORIŠKA CESTA;0.27--ŠALEK;0.15--PREDOR ŠALEK;0.12--ŠALEK;1.03--SELO;0.84--PAKA PRI VELENJU;3.83--KOZJAK;0.04--PAKA PRI VELENJU;1.26--KOZJAK;0.77--ZAVRŠE;0.51--KOZJAK;0.21--ZAVRŠE;0.24--KOZJAK;0.01--ZAVRŠE;0.13--GORNJI DOLIČ;0.42--ZAVRŠE;0.03--GORNJI DOLIČ;1.2--MOVŽE;1.71--ŠENTLENART;0.57--STRAŽE;1.13--MISLINJA;0.01--STRAŽE;1.44--MISLINJA;0.01--STRAŽE;0.16--MISLINJA;0.12--MISLINJSKA DOBRAVA;3.79--TOMAŠKA VAS;0.58--ŠMARTNO PRI SLOVENJ GRADCU;2.82--SLOVENJ GRADEC (OBVOZNICA);1.96--SLOVENJ GRADEC;0.6--GRADIŠČE;0.46--TROBLJE;0.01--GRADIŠČE;0.06--TROBLJE;0.46--PAMEČE;2.3--BUKOVSKA VAS;2.21--ŠENTJANŽ PRI DRAVOGRADU;1.37--OTIŠKI VRH;1.63--MEŽA;1.16
JKP Grosuplje d.o.o.,Taborska cesta 3,Grosuplje,1290 Grosuplje,OSREDNJESLOVENSKA,45.95659883;14.65328404,0,24.08,15,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;9.8--GROSUPLJE;0.15--PRIKLJUČEK GROSUPLJE;0.14--LJUBLJANSKA CESTA;0.99--BRINJE CESTA I;0.23--POD GOZDOM CESTA I;0.01--STRANSKA POT I;0.09--ADAMIČEVA CESTA;0.12--KOLODVORSKA CESTA;0.19
JKP JEKO-IN d.o.o.,Cesta Franceta Prešerna 62,Jesenice,4270 Jesenice,GORENJSKA,46.43396677;14.05779393,0,66.64,37,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;1.83--A2;58.87--JESENICE - VZHOD;0.17--PRIKLJUČEK JESENICE - VZHOD;0.14--LIPCE;0.64--PODKOČNA;0.52--CESTA JANEZA FINŽGARJA;0.5--CESTA BORISA KIDRIČA;0.49--CESTA ŽELEZARJEV;1.24--FUŽINSKA CESTA;0.18--SKLADIŠČNA ULICA;0.28
JKP Komunala Ribnica d.o.o.,Goriča vas 11 A,Ribnica,1310 Ribnica,JUGOVZHODNA,45.73192922;14.73538594,0,54.48,45,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.6--A1;2.35--A1:A2;8.24--A2;5.54--ŠMARJE-SAP;0.41--MALI VRH PRI ŠMARJU;0.07--RIMSKA CESTA;0.1--TLAKE;1.24--ŠMARSKA CESTA;0.78--KOČEVSKA CESTA;1.51--GUMNIŠČE;1.14--KOČEVSKA CESTA;2.03--SMRJENE;1.8--KOČEVSKA CESTA;1.69--VRH NAD ŽELIMLJAMI;0.87--ŽELIMLJE;0.01--VRH NAD ŽELIMLJAMI;0.37--ŽELIMLJE;0.66--VELIKI LOČNIK;0.78--TURJAK;0.15--MALI LOČNIK;1.34--SLOKA GORA;0.19--TURJAK;1.63--PRAZNIKI;0.12--LAPORJE;0.96--RAŠICA;1.75--MALE LAŠČE;1.24--VELIKE LAŠČE;0.32--TRUBARJEVA CESTA;1.21--VELIKE LAŠČE;0.27--SROBOTNIK PRI VEL. LAŠČAH;0.08--VELIKE LAŠČE;0.05--SROBOTNIK PRI VEL. LAŠČAH;0.23--DOLNJE RETJE;0.56--GORNJE RETJE;0.58--PRILESJE;1.34--GORENJE PODPOLJANE;0.28--PRILESJE;0.05--GORENJE PODPOLJANE;0.2--DOLENJE PODPOLJANE;0.78--PRAPROČE;0.4--ORTNEK;1.12--DULE;0.03--ORTNEK;0.03--DULE;0.05--ORTNEK;1.28--DULE;0.3--ORTNEK;0.29--VIADUKT ŽLEBIČ;0.1--ŽLEBIČ;1.37--BREŽE;0.57--CESTA I;1.07--BREG PRI RIBNICI NA DOL.;0.67--GORENJSKA CESTA;1.31--KOLODVORSKA ULICA;0.06--ŠKRABČEV TRG;0.37--ŠEŠKOVA ULICA;0.15--HROVAČA;0.64
