ime,ulica,mesto,posta,regija,koordinate,center,dolzina,trajanje,pot
AMI - GT D.O.O.,Ulica Mirka Pirca 1,Sežana,6210 Sežana,OBALNO-KRAŠKA,45.70871044;13.87378107,0,73.35,36,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;62.6--A3;8.04--SEŽANA VZHOD;0.17--DANE PRI SEŽANI;0.75--PARTIZANSKA CESTA;0.23--ULICA MIRKA PIRCA;0.07
"AVTOLAZAR, LIČARSTVO IN DRUGE STORITVE D.O.O.",Vanganel 30 A,Vanganel,6000 Koper - Capodistria,OBALNO-KRAŠKA,45.51537048;13.76674287,0,102.04,53,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;92.19--BERTOKI;1.69--KOPER;2.04--SLAVČEK;0.18--LJUBLJANSKA CESTA;0.44--ŠMARSKA CESTA;0.57--CESTA MAREŽGANSKEGA UPORA;0.51--KOPER;0.16--BOŠAMARIN;0.64--KAMPEL;1.04--MANŽAN;0.46--VANGANEL;0.62
AVTOSERVIS VULTES ALEŠ BRNE S.P.,Križ 238,Križ,6210 Sežana,OBALNO-KRAŠKA,45.74680566;13.86430254,0,77.68,41,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;62.6--A3;8.04--SEŽANA VZHOD;0.17--DANE PRI SEŽANI;1.6--SEŽANA;0.14--ŠMARJE PRI SEŽANI;1.44--KRIŽ;2.19
AXLE D.O.O.,Kolodvorska cesta 7,Koper - Capodistria,6000 Koper - Capodistria,OBALNO-KRAŠKA,45.54000846;13.73690693,0,97.73,48,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;92.19--BERTOKI;1.69--KOPER;1.81--KOPER - CENTER;0.27--LJUBLJANSKA CESTA;0.09--KOLODVORSKA CESTA;0.19
"OBALA CENTER VULKANIZERSTVO, FRANKO RAŽMAN S.P.",Dolinska cesta 1 B,Koper - Capodistria,6000 Koper - Capodistria,OBALNO-KRAŠKA,45.53081002;13.73182491,0,98.84,49,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;92.19--BERTOKI;1.69--KOPER;2.04--SLAVČEK;0.18--LJUBLJANSKA CESTA;0.44--ŠMARSKA CESTA;0.51--DOLINSKA CESTA;0.3
SODA MATJAŽ SODRŽNIK S.P.,Industrijska cesta 4 F,Izola - Isola,6310 Izola - Isola,OBALNO-KRAŠKA,45.95506551;13.66651718,0,98.54,55,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;53.2--H4;35.08--VOGRSKO;0.08--PRIKLJUČEK VOGRSKO;0.67--VOGRSKO;1.34--OZELJAN;2.12--ŠMIHEL;0.82--AJŠEVICA;1.44--LOKE;0.04--ROŽNA DOLINA;0.48--KROMBERK;1.08--INDUSTRIJSKA CESTA;0.64--VODOVODNA POT;0.06
STARC DORJAN S.P.,Istrska ulica 30,Kozina,6240 Kozina,OBALNO-KRAŠKA,45.60498082;13.93259622,0,75.99,38,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;72.8--KOZINA;0.35--PRIKLJUČEK KOZINA;0.44--KOZINA;0.78--ISTRSKA ULICA;0.12
SUNSIDE TUNING ALEŠ VEŽNAVER S.P.,Šmarje 61,Šmarje,6274 Šmarje,OBALNO-KRAŠKA,45.49841376;13.71548191,0,105.69,55,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;92.19--BERTOKI;1.69--KOPER;2.04--SLAVČEK;0.18--LJUBLJANSKA CESTA;0.44--ŠMARSKA CESTA;1.29--ŠALARA;3.88--GAŽON;0.29--SRGAŠI;0.59--ŠMARJE;1.6
"T & P CARS, PROIZVODNO PODJETJE, D.O.O.,",Povžane 1,Povžane,6242 Materija,OBALNO-KRAŠKA,45.57873721;14.0002121,0,81.56,42,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;72.8--KOZINA;0.35--PRIKLJUČEK KOZINA;0.44--OBVOZNA CESTA;0.12--OBRTNIŠKA ULICA;0.15--POD VIDEŽEM;0.07--BAZOVIŠKA CESTA;0.05--KOZINA;0.19--HRPELJE;0.1--REŠKA CESTA;0.79--HRPELJE;1.26--TUBLJE PRI HRPELJAH;1.89--ROŽICE;0.9--MATERIJA;0.63--BAČ PRI MATERIJI;0.29--MATERIJA;0.01--POVŽANE;0.02
TAGROS D.O.O.,Vojkovo nabrežje 38,Koper - Capodistria,6000 Koper - Capodistria,OBALNO-KRAŠKA,45.54885239;13.73839967,0,99.13,50,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;92.19--BERTOKI;1.69--KOPER;1.81--KOPER - CENTER;0.27--LJUBLJANSKA CESTA;0.09--KOLODVORSKA CESTA;0.29--ANKARANSKA CESTA;0.08--KOLODVORSKA CESTA;0.26--FERRARSKA ULICA;0.58--;0.04--VOJKOVO NABREŽJE;0.34
VULKANIZACIJA ALEŠ HRVATIČ S.P.,Partizanska cesta 71 E,Sežana,6210 Sežana,OBALNO-KRAŠKA,45.70471601;13.85653636,0,75.73,37,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;62.6--A3;10.71--SEŽANA - ZAHOD;0.18--PRIKLJUČEK SEŽANA - ZAHOD;0.69--PARTIZANSKA CESTA;0.06
VULKANIZERSTVO VZDRŽEVANJE IN IZPOSOJA VOZIL VOLČIČ IGOR S.P.,Komen 50,Komen,6223 Komen,OBALNO-KRAŠKA,45.81694067;13.75012617,0,91.5,56,TRŽAŠKA CESTA;1.18--PRIKLJUČEK BREZOVICA;0.31--A1;62.6--A3;8.04--SEŽANA VZHOD;0.17--DANE PRI SEŽANI;1.6--SEŽANA;0.14--ŠMARJE PRI SEŽANI;1.44--KRIŽ;2.54--TOMAJ;1.97--DUTOVLJE;2.51--KRAJNA VAS;2.18--PLISKOVICA;0.86--KOSOVELJE;1.33--PLISKOVICA;0.23--COLJAVA;1.13--VOLČJI GRAD;1.5--KOMEN;1.76
